YrSold,Neighborhood,total_sales,rank_pos,dense_rank_pos
2006,NAmes,7892870.476799999,1,1
2006,OldTown,4397947.3666,2,2
2006,CollgCr,4364815.3624,3,3
2006,Edwards,3879093.0997000006,4,4
2006,NridgHt,2397610.6896,5,5
2006,Mitchel,1950722.5776,6,6
2006,Sawyer,1898531.9420000003,7,7
2006,Gilbert,1866349.0813999998,8,8
2006,StoneBr,1772842.8202000002,9,9
2006,Somerst,1758036.909,10,10
2006,Crawfor,1678595.3112,11,11
2006,SawyerW,1608534.6601,12,12
2006,SWISU,1404786.5528999998,13,13
2006,IDOTRR,1236472.839,14,14
2006,NoRidge,954946.8536999999,15,15
2006,NWAmes,923239.6563,16,16
2006,BrDale,836353.274,17,17
2006,BrkSide,697796.1264,18,18
2006,MeadowV,670204.0385,19,19
2006,NPkVill,479993.798,20,20
2006,Timber,384966.064,21,21
2006,ClearCr,348184.9053,22,22
2006,Blmngtn,317514.02989999996,23,23
2006,Veenker,185948.6255,24,24
2007,NAmes,7952671.566699998,1,1
2007,CollgCr,5420868.9519,2,2
2007,NridgHt,4307303.173099999,3,3
2007,Somerst,4028092.4261000007,4,4
2007,Gilbert,3563084.6057999996,5,5
2007,OldTown,3255294.5216,6,6
2007,Edwards,3221698.5749999997,7,7
2007,NWAmes,2947096.4142000005,8,8
2007,Sawyer,2890372.3526,9,9
2007,Mitchel,2029386.3994999998,10,10
2007,Crawfor,1943094.7125999997,11,11
2007,BrkSide,1891570.7521000002,12,12
2007,IDOTRR,1772455.4460999998,13,13
2007,StoneBr,1303598.6297,14,14
2007,NoRidge,1179184.567,15,15
2007,Timber,1097656.9011,16,16
2007,SawyerW,931088.0808,17,17
2007,Veenker,516792.07420000003,18,18
2007,ClearCr,362618.8187,19,19
2007,BrDale,348622.2561,20,20
2007,SWISU,330923.05449999997,21,21
2007,MeadowV,328111.68799999997,22,22
2007,Blueste,299430.05110000004,23,23
2007,Blmngtn,158608.7491,24,24
2007,NPkVill,151422.1169,25,25
2008,NAmes,5796427.2884,1,1
2008,OldTown,4335878.8029,2,2
2008,NridgHt,3430180.0933,3,3
2008,Somerst,2839350.9109,4,4
2008,CollgCr,2550833.7679999997,5,5
2008,IDOTRR,2415088.7033,6,6
2008,BrkSide,2203796.9223,7,7
2008,Sawyer,2148869.4804000002,8,8
2008,Timber,1816777.8779999998,9,9
2008,SawyerW,1815455.7086000002,10,10
2008,Edwards,1745366.0022000005,11,11
2008,NWAmes,1675487.1881,12,12
2008,Gilbert,1647689.2847999998,13,13
2008,Crawfor,1595228.9547,14,14
2008,Mitchel,1421688.8436,15,15
2008,StoneBr,1029335.3159,16,16
2008,NoRidge,944469.4731,17,17
2008,Veenker,552291.7921,18,18
2008,MeadowV,470146.1933,19,19
2008,BrDale,468207.6755,20,20
2008,SWISU,351552.1679,21,21
2008,NPkVill,334680.6762,22,22
2008,ClearCr,199158.097,23,23
2008,Blueste,158527.1641,24,24
2008,Blmngtn,152186.6093,25,25
2009,NAmes,7663307.944399999,1,1
2009,NridgHt,4148388.2526999996,2,2
2009,OldTown,4037487.7487000003,3,3
2009,SawyerW,3640530.1909000003,4,4
2009,CollgCr,3380459.9228,5,5
2009,Somerst,2988799.4405000005,6,6
2009,Gilbert,2686007.3399,7,7
2009,Mitchel,1913455.9007,8,8
2009,Edwards,1899396.1871999998,9,9
2009,Crawfor,1596838.8787999998,10,10
2009,NWAmes,1488764.2056999998,11,11
2009,Sawyer,1097311.4392000001,12,12
2009,IDOTRR,1089656.736,13,13
2009,NPkVill,971748.8147999999,14,14
2009,Timber,906946.2572000001,15,15
2009,BrkSide,832361.7245,16,16
2009,StoneBr,483227.5383,17,17
2009,Blueste,455837.66280000005,18,18
2009,NoRidge,386184.23230000003,19,19
2009,Veenker,364866.0883,20,20
2009,SWISU,342576.587,21,21
2009,BrDale,303426.7694,22,22
2009,Blmngtn,155774.2709,23,23
2010,NAmes,3813106.4010999994,1,1
2010,Mitchel,1975584.2846,2,2
2010,OldTown,1874906.5448,3,3
2010,Edwards,1764529.4925,4,4
2010,Somerst,1740807.1407,5,5
2010,Gilbert,1427933.4065,6,6
2010,BrkSide,1322609.9039,7,7
2010,NridgHt,1262499.4737,8,8
2010,CollgCr,1059231.9716,9,9
2010,Sawyer,879905.799,10,10
2010,SawyerW,868400.014,11,11
2010,Crawfor,759392.2885,12,12
2010,NoRidge,595431.2295,13,13
2010,Timber,518921.3282,14,14
2010,IDOTRR,485974.76749999996,15,15
2010,SWISU,481333.6264,16,16
2010,NWAmes,382728.1342,17,17
2010,ClearCr,363693.7794,18,18
2010,NPkVill,315059.1565,19,19
2010,MeadowV,313411.0854,20,20
2010,BrDale,304963.2626,21,21
2010,Blueste,289386.9305,22,22
2010,StoneBr,150730.08,23,23
2010,Blmngtn,147183.6749,24,24
